2025-12-31 19:15:04,869 [DEBUG] Response: 200 https://sqs.us-east-1.amazonaws.com/668920780829/495c887663f12f22ac494593d8313ff0d63326d41c0e179febde860e0279c81b/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-RequestId': '6b59c808-7394-5f67-8753-a9c70bf08ae1', 'Date': 'Wed, 31 Dec 2025 19:15:04 GMT', 'Content-Type': 'text/xml', 'Content-Length': '240', 'connection': 'keep-alive'}]
2025-12-31 19:15:24,901 [DEBUG] Response: 200 https://sqs.us-east-1.amazonaws.com/668920780829/495c887663f12f22ac494593d8313ff0d63326d41c0e179febde860e0279c81b/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-RequestId': '5097e0b2-d600-5105-b332-817dae7851c6', 'Date': 'Wed, 31 Dec 2025 19:15:24 GMT', 'Content-Type': 'text/xml', 'Content-Length': '240', 'connection': 'keep-alive'}]
2025-12-31 19:15:24,998 [DEBUG] Response: 200 https://cloudformation.us-east-1.amazonaws.com/?Action=DescribeStackResource&LogicalResourceId=AWSEBAutoScalingGroup&ContentType=JSON&StackName=arn%3Aaws%3Acloudformation%3Aus-east-1%3A188701360622%3Astack%2Fawseb-e-5v3xfbcd6t-stack%2Fd5e7eea0-e5df-11f0-a0e2-0e2ff02919a1&Version=2010-05-15 [headers: {'x-amzn-RequestId': 'bb7e63fe-f303-4d88-b456-c17eb3c1cec9', 'Date': 'Wed, 31 Dec 2025 19:15:24 GMT', 'Content-Type': 'application/json', 'Content-Length': '22518', 'connection': 'keep-alive'}]
2025-12-31 19:15:25,322 [DEBUG] Response: 200 https://cloudformation.us-east-1.amazonaws.com/?Action=DescribeStackResource&LogicalResourceId=AWSEBBeanstalkMetadata&ContentType=JSON&StackName=arn%3Aaws%3Acloudformation%3Aus-east-1%3A188701360622%3Astack%2Fawseb-e-5v3xfbcd6t-stack%2Fd5e7eea0-e5df-11f0-a0e2-0e2ff02919a1&Version=2010-05-15 [headers: {'x-amzn-RequestId': 'a859a588-a489-4e19-b128-3d86cc26f178', 'Date': 'Wed, 31 Dec 2025 19:15:25 GMT', 'Content-Type': 'application/json', 'Content-Length': '4272', 'connection': 'keep-alive'}]
2025-12-31 19:15:44,938 [DEBUG] Response: 200 https://sqs.us-east-1.amazonaws.com/668920780829/495c887663f12f22ac494593d8313ff0d63326d41c0e179febde860e0279c81b/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-RequestId': '792986d4-811e-57d2-80e9-e71bf992d7bd', 'Date': 'Wed, 31 Dec 2025 19:15:44 GMT', 'Content-Type': 'text/xml', 'Content-Length': '240', 'connection': 'keep-alive'}]
2025-12-31 19:16:04,966 [DEBUG] Response: 200 https://sqs.us-east-1.amazonaws.com/668920780829/495c887663f12f22ac494593d8313ff0d63326d41c0e179febde860e0279c81b/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-RequestId': '82b5a765-706d-52ad-b4f0-c6aa08cd91f8', 'Date': 'Wed, 31 Dec 2025 19:16:04 GMT', 'Content-Type': 'text/xml', 'Content-Length': '240', 'connection': 'keep-alive'}]
2025-12-31 19:16:05,103 [DEBUG] Response: 200 https://cloudformation.us-east-1.amazonaws.com/?Action=DescribeStackResource&LogicalResourceId=AWSEBAutoScalingGroup&ContentType=JSON&StackName=arn%3Aaws%3Acloudformation%3Aus-east-1%3A188701360622%3Astack%2Fawseb-e-5v3xfbcd6t-stack%2Fd5e7eea0-e5df-11f0-a0e2-0e2ff02919a1&Version=2010-05-15 [headers: {'x-amzn-RequestId': '263a9935-5f45-4c17-bd58-703a0d576db0', 'Date': 'Wed, 31 Dec 2025 19:16:05 GMT', 'Content-Type': 'application/json', 'Content-Length': '22518', 'connection': 'keep-alive'}]
2025-12-31 19:16:05,447 [DEBUG] Response: 200 https://cloudformation.us-east-1.amazonaws.com/?Action=DescribeStackResource&LogicalResourceId=AWSEBBeanstalkMetadata&ContentType=JSON&StackName=arn%3Aaws%3Acloudformation%3Aus-east-1%3A188701360622%3Astack%2Fawseb-e-5v3xfbcd6t-stack%2Fd5e7eea0-e5df-11f0-a0e2-0e2ff02919a1&Version=2010-05-15 [headers: {'x-amzn-RequestId': '0d29faed-8062-478d-881e-6295c693c825', 'Date': 'Wed, 31 Dec 2025 19:16:05 GMT', 'Content-Type': 'application/json', 'Content-Length': '4272', 'connection': 'keep-alive'}]
2025-12-31 19:16:24,997 [DEBUG] Response: 200 https://sqs.us-east-1.amazonaws.com/668920780829/495c887663f12f22ac494593d8313ff0d63326d41c0e179febde860e0279c81b/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-RequestId': 'da416001-4e31-5a0c-aa38-01ce36852b29', 'Date': 'Wed, 31 Dec 2025 19:16:24 GMT', 'Content-Type': 'text/xml', 'Content-Length': '240', 'connection': 'keep-alive'}]
2025-12-31 19:16:44,249 [DEBUG] Response: 200 https://cloudformation.us-east-1.amazonaws.com/?Action=DescribeStackResource&LogicalResourceId=AWSEBAutoScalingGroup&ContentType=JSON&StackName=arn%3Aaws%3Acloudformation%3Aus-east-1%3A188701360622%3Astack%2Fawseb-e-5v3xfbcd6t-stack%2Fd5e7eea0-e5df-11f0-a0e2-0e2ff02919a1&Version=2010-05-15 [headers: {'x-amzn-RequestId': 'bae87909-5487-4e6f-8684-a5cc0eab15ec', 'Date': 'Wed, 31 Dec 2025 19:16:44 GMT', 'Content-Type': 'application/json', 'Content-Length': '22518', 'connection': 'keep-alive'}]
2025-12-31 19:16:44,597 [DEBUG] Response: 200 https://cloudformation.us-east-1.amazonaws.com/?Action=DescribeStackResource&LogicalResourceId=AWSEBBeanstalkMetadata&ContentType=JSON&StackName=arn%3Aaws%3Acloudformation%3Aus-east-1%3A188701360622%3Astack%2Fawseb-e-5v3xfbcd6t-stack%2Fd5e7eea0-e5df-11f0-a0e2-0e2ff02919a1&Version=2010-05-15 [headers: {'x-amzn-RequestId': '660c7ba5-c42f-478d-b30d-ff521c9cd4aa', 'Date': 'Wed, 31 Dec 2025 19:16:44 GMT', 'Content-Type': 'application/json', 'Content-Length': '4272', 'connection': 'keep-alive'}]
